Period,Num workers - start,Num workers - end,Num workers - hired,Production,Sales,Sales price per unit,Stock - starting (units),Resources stock - start (units),Resources consumed (units),Resources stock - end (units),Resources consumed (dollars),Wages,Profit,Resources bought - units,Resources bought - dollars,Resources spot price,Cash - start,Cash - end
1,40,42,2,2.0,400000.0,200000.0,0.0,2300.0,909.090909090909,3636.363636363636,181818.1818181818,180000,38181.818181818206,2245.454545454545,449090.909090909,200.0,1000000.0,770909.090909091
2,42,44,2,2.1,420000.0,200000.0,0.0,3636.363636363636,954.5454545454545,3818.181818181818,190909.0909090909,189000,40090.90909090909,1136.3636363636365,227272.7272727273,200.0,770909.090909091,774636.3636363638
3,44,46,2,2.2,398378.3783783784,181081.08108108107,0.0,3818.181818181818,1000.0,4000.0,120405.92430060341,198000,79972.454077775,1181.818181818182,142297.91053707676,120.4059243006034,774636.3636363638,832716.8314776655
4,46,49,3,2.3000000000000003,497961.1650485437,216504.85436893202,0.0,4000.0,1045.4545454545455,4181.818181818182,123539.95985917811,207000,167421.2051893656,1227.2727272727275,145025.17026946996,118.16865725660514,832716.8314776655,978652.8262567392
5,49,52,3,2.45,522358.4905660377,213207.5471698113,0.0,4181.818181818182,1113.6363636363637,4454.545454545455,138578.81652446135,220500,163279.67404157636,1386.363636363637,172516.48587739072,124.4381209607408,978652.8262567392,1107994.8309453863
6,52,55,3,2.6,601492.5373134328,231343.28358208953,0.0,4454.545454545455,1181.8181818181818,4727.272727272727,157592.99781181617,234000,209899.53950161661,1454.545454545454,193960.612691466,133.34792122538292,1107994.8309453863,1281526.755567353
7,55,58,3,2.75,610680.7511737089,222065.72769953051,0.0,4727.272727272727,1250.0,5000.0,178076.675257732,247500,185104.07591597695,1522.727272727273,216929.76804123717,142.46134020618558,1281526.755567353,1427777.7386998245
8,58,61,3,2.9000000000000004,736153.8461538462,253846.15384615384,0.0,5000.0,1318.1818181818182,5272.727272727273,204603.12713602194,261000,270550.7190178243,1590.909090909091,246934.80861244028,155.21616541353387,1427777.7386998245,1655996.7762412303
9,61,65,4,3.0500000000000003,709867.2566371681,232743.3628318584,0.0,5272.727272727273,1386.3636363636365,5545.454545454546,242514.27488331325,274500,192852.98175385487,1659.0909090909095,290222.00108986674,174.92832942402922,1655996.7762412303,1801142.0317885317
10,65,69,4,3.25,754515.4185022025,232158.59030837,0.0,5545.454545454546,1477.2727272727273,5909.090909090909,297679.2880823592,292500,164336.1304198433,1840.90909090909,370954.1897641705,201.5059796249816,1801142.0317885317,1892203.2605265635
11,69,73,4,3.45,820862.0689655173,237931.03448275864,0.0,5909.090909090909,1568.1818181818182,6272.727272727273,363918.69243781717,310500,146443.37652770017,1931.818181818182,448305.6356118038,232.06409372846312,1892203.2605265635,1954259.6938802772
12,73,77,4,3.6500000000000004,784540.2298850574,214942.52873563216,0.0,6272.727272727273,1659.0909090909092,6636.363636363637,448507.2281583912,328500,7533.001726666233,2022.727272727273,546810.1822752989,270.33312382149603,1954259.6938802772,1863489.7414900358
13,77,77,0,3.85,834635.0364963502,216788.32116788317,0.0,6636.363636363637,1750.0,6636.363636363637,586428.5714285716,346500,-98293.5349322214,1750.0,586428.5714285716,335.1020408163266,1863489.7414900358,1765196.2065578143
14,77,69,-8,3.85,756382.6366559485,196463.02250803856,0.0,6636.363636363637,1750.0,6636.363636363637,790715.6673114122,346500,-380833.0306554637,1750.0,790715.6673114122,451.83752417794983,1765196.2065578143,1384363.1759023503
15,69,62,-7,3.45,681585.3658536584,197560.97560975605,0.0,6636.363636363637,1568.1818181818182,5068.181818181819,1097727.2727272727,310500,-726641.9068736143,0.0,0.0,700.0,1384363.1759023503,1755448.5417560088
16,62,55,-7,3.1,604362.0178041542,194955.4896142433,0.0,5068.181818181819,1409.090909090909,5068.181818181819,986363.6363636364,279000,-661001.6185594822,1409.090909090909,986363.6363636364,700.0,1755448.5417560088,1094446.9231965267
17,55,49,-6,2.75,504805.0139275766,183565.45961002784,0.0,5068.181818181819,1250.0,5068.181818181819,855810.6169296998,247500,-598505.6030021232,1250.0,855810.6169296998,684.6484935437599,1094446.9231965267,495941.3201944035
18,49,44,-5,2.45,466468.92655367224,190395.48022598866,0.0,5068.181818181819,1113.6363636363637,5068.181818181819,517858.6988091785,220500,-271889.77225550625,1113.6363636363637,517858.6988091785,465.0159744408949,495941.3201944035,224051.54793889733
19,44,39,-5,2.2,425247.8134110787,193294.4606413994,0.0,5068.181818181819,1000.0,4068.181818181819,322906.4039408869,198000,-95658.59052980819,0.0,0.0,465.0159744408949,224051.54793889733,451299.36134997604
20,39,39,0,1.9500000000000002,374827.08933717577,192219.02017291065,0.0,4068.181818181819,886.3636363636364,4068.181818181819,189476.08894303997,175500,9851.0003941358,886.3636363636364,189476.08894303997,213.7678952177887,451299.36134997604,461150.36174411187
21,39,35,-4,1.9500000000000002,386411.0429447852,198159.50920245395,0.0,4068.181818181819,886.3636363636364,3181.8181818181824,385662.4758220505,175500,-174751.43287726527,0.0,0.0,435.1063829787236,461150.36174411187,672061.4046888971
