Period,Num workers - start,Num workers - end,Num workers - hired,Production,Sales,Sales price per unit,Stock - starting (units),Resources stock - start (units),Resources consumed (units),Resources stock - end (units),Resources consumed (dollars),Wages,Profit,Resources bought - units,Resources bought - dollars,Resources spot price,Cash - start,Cash - end
1,100,106,6,100000.0,1000000.0,10.0,0.0,19000.0,2272.7272727272725,16727.272727272728,454545.45454545453,450000,95454.54545454547,0.0,0.0,,10000000.0,10550000.0
2,106,113,7,106000.0,1060000.0,10.0,0.0,16727.272727272728,2409.090909090909,14318.18181818182,481818.1818181818,477000,101181.81818181818,0.0,0.0,,10550000.0,11133000.0
3,113,120,7,113000.0,2815781.619607225,24.91842141245332,0.0,14318.18181818182,2568.181818181818,11750.000000000002,309224.305590186,508500,1998057.314017039,0.0,0.0,,11133000.0,13440281.619607225
4,120,128,8,120000.0,1284187.0873831124,10.701559061525936,0.0,11750.000000000002,2727.2727272727275,10909.09090909091,322278.1561543777,540000,421908.9312287347,1886.363636363636,222909.05800677784,118.16865725660514,13440281.619607225,13961559.648983559
5,128,136,8,128000.0,1844895.6054149834,14.413246917304557,0.0,10909.09090909091,2909.090909090909,11636.363636363636,362001.806431246,576000,906893.7989837374,3636.363636363635,452502.2580390573,124.4381209607408,13961559.648983559,14777952.996359484
6,136,145,9,136000.0,3674249.6355170486,27.016541437625357,0.0,11636.363636363636,3090.909090909091,12363.636363636364,412166.3019693654,612000,2650083.3335476834,3818.18181818182,509146.6083150986,133.34792122538292,14777952.996359484,17331056.023561433
7,145,154,9,145000.0,1468011.913304122,10.124220091752566,0.0,12363.636363636364,3295.4545454545455,13181.818181818182,469474.8711340207,652500,346037.04217010125,4113.636363636364,586034.1494845361,142.46134020618558,17331056.023561433,17560533.787381016
8,154,164,10,154000.0,1788834.0405725131,11.615805458263072,0.0,13181.818181818182,3500.0,14000.0,543256.5789473685,693000,552577.4616251446,4318.181818181818,670251.6233766235,155.21616541353387,17560533.787381016,17986116.204576906
9,164,174,10,164000.0,2227394.46250518,13.581673551860852,0.0,14000.0,3727.2727272727275,14909.09090909091,652005.5914895635,738000,837388.8710156165,4636.363636363638,811031.3455114084,174.92832942402922,17986116.204576906,18664479.32157068
10,174,185,11,174000.0,2757454.5946687316,15.847440199245584,0.0,14909.09090909091,3954.5454545454545,15818.181818181818,796864.5557896999,783000,1177590.0388790318,4863.636363636362,980051.8099942283,201.5059796249816,18664479.32157068,19658882.106245182
11,185,197,12,185000.0,3292579.7227936178,17.797728231316853,0.0,15818.181818181818,4204.545454545455,16818.18181818182,975724.03044922,832500,1484355.6923443978,5204.545454545456,1207788.1241776834,232.06409372846312,19658882.106245182,20911173.704861116
12,197,210,13,197000.0,3602673.621987539,18.287683360342836,0.0,16818.18181818182,4477.272727272727,17909.090909090908,1210355.1225644255,886500,1505818.4994231134,5568.181818181816,1505263.9849151478,270.33312382149603,20911173.704861116,22122083.341933507
13,210,224,14,210000.0,3537390.5333365933,16.84471682541235,0.0,17909.090909090908,4772.727272727273,19090.909090909092,1599350.64935065,945000,993039.8839859434,5954.545454545456,1995380.3339517636,335.1020408163266,22122083.341933507,22719093.54131834
14,224,224,0,224000.0,3220098.675998441,14.375440517850183,0.0,19090.909090909092,5090.909090909091,20363.636363636364,2300263.759451381,1008000,-88165.08345293999,6363.636363636364,2875329.6993142264,451.83752417794983,22719093.54131834,22055862.518002555
15,224,224,0,224000.0,2688405.284651514,12.001809306479974,0.0,20363.636363636364,5090.909090909091,20363.636363636364,3563636.3636363638,1008000,-1883231.0789848496,5090.909090909092,3563636.363636364,700.0,22055862.518002555,20172631.439017706
16,224,201,-23,224000.0,2379297.339077435,10.621863120881406,0.0,20363.636363636364,5090.909090909091,15272.727272727272,3563636.3636363638,1008000,-2192339.024558929,0.0,0.0,700.0,20172631.439017706,21543928.77809514
17,201,180,-21,201000.0,1953828.638357388,9.72054048934024,0.0,15272.727272727272,4568.181818181818,10704.545454545454,3127598.8000521758,904500,-2078270.1616947877,0.0,0.0,684.6484935437599,21543928.77809514,22593257.41645253
18,180,162,-18,180000.0,1716280.8910461913,9.534893839145507,0.0,10704.545454545454,4090.909090909091,6613.636363636363,1902338.0772582064,810000,-996057.1862120151,0.0,0.0,465.0159744408949,22593257.41645253,23499538.307498723
19,162,145,-17,162000.0,1595305.0111638638,9.847561797307801,0.0,6613.636363636363,3681.818181818182,2931.818181818181,1188882.6690550835,729000,-322577.6578912197,0.0,0.0,322.9064039408869,23499538.307498723,24365843.318662588
20,145,154,9,128999.99999999997,1392502.2679683825,10.794591224561106,0.0,2931.818181818181,2931.818181818181,11727.272727272724,626728.6018885167,652500,113273.66607986577,11727.272727272724,2506914.4075540667,213.7678952177887,24365843.318662588,22598931.179076903
21,154,164,10,154000.0,2250719.6848261287,14.615062888481356,0.0,11727.272727272724,3500.0,14000.0,1522872.3404255325,693000,34847.34440059611,5772.727272727276,2511750.4835589966,435.1063829787236,22598931.179076903,21644900.380344033
22,164,174,10,164000.0,3505870.630407107,21.37725994150675,0.0,14000.0,3727.2727272727275,14909.09090909091,2029104.168393141,738000,738766.4620139662,4636.363636363638,2524007.6240987857,544.3938012762085,21644900.380344033,21888763.386652354
23,174,185,11,174000.0,6090000.0,35.0,0.0,14909.09090909091,3954.5454545454545,15818.181818181818,2423566.2409216166,783000,2883433.7590783834,4863.636363636362,2980707.9055012977,612.8558310376502,21888763.386652354,24215055.481151056
24,185,197,12,185000.0,6475000.0,35.0,0.0,15818.181818181818,4204.545454545455,11613.636363636364,2865759.923759016,832500,2776740.076240984,0.0,0.0,681.5861440291714,24215055.481151056,29857555.481151056
25,197,197,0,197000.0,2000429.1637294318,10.154462760047878,0.0,11613.636363636364,4477.272727272727,7136.363636363637,1780704.4807044815,886500,-666775.3169750497,0.0,0.0,397.7207977207979,29857555.481151056,30971484.64488049
26,197,197,0,197000.0,2011145.2406878888,10.208859089786237,0.0,7136.363636363637,4477.272727272727,2659.09090909091,1342901.6384116511,886500,-218256.39772376232,0.0,0.0,299.9374217772216,30971484.64488049,32096129.885568377
27,197,177,-20,117000.00000000003,1203533.5237829776,10.286611314384421,0.0,2659.09090909091,2659.09090909091,10636.36363636364,497535.0781381283,886500,-180501.55435515067,10636.36363636364,1990140.312552513,187.10720887245844,32096129.885568377,30423023.09679884
28,177,188,11,177000.0,2576982.6262111,14.55922387689887,0.0,10636.36363636364,4022.7272727272725,16090.90909090909,1022786.5244625028,796500,757696.101748597,9477.272727272722,2409615.71017437,254.2520173805092,30423023.09679884,29793890.01283557
29,188,200,12,188000.0,3278750.715759526,17.440163381699605,0.0,16090.90909090909,4272.727272727273,17090.909090909092,1501548.4922575396,846000,931202.2235019864,5272.727272727276,1852974.7351263263,351.42624286878583,29793890.01283557,30373665.99346877
30,200,213,13,200000.0,4003921.403499418,20.01960701749709,0.0,17090.909090909092,4545.454545454545,18181.81818181818,1534386.1780387403,900000,1569535.2254606776,5636.363636363632,1902638.8607680367,337.5649591685229,30373665.99346877,31574948.53620015
31,213,227,14,213000.0,4391810.885733456,20.618830449452847,0.0,18181.81818181818,4840.909090909091,19363.636363636364,1740296.9655852967,958500,1693013.9201481596,6022.727272727276,2165158.196620206,359.49796472184534,31574948.53620015,32843101.2253134
