Period,Num workers - start,Num workers - end,Num workers - hired,Production,Sales,Sales price per unit,Stock - starting (units),Resources stock - start (units),Resources consumed (units),Resources stock - end (units),Resources consumed (dollars),Wages,Profit,Resources bought - units,Resources bought - dollars,Resources spot price,Cash - start,Cash - end
1,30,32,2,1500,300000.0,200.0,0,0,0,0,0.0,135000,165000.0,,,,4000000.0,4165000.0
2,32,34,2,1600,320000.0,200.0,0,0,0,0,0.0,144000,176000.0,,,,4165000.0,4341000.0
3,34,36,2,1700,204690.0713110258,120.4059243006034,0,0,0,0,0.0,153000,51690.07131102579,,,,4341000.0,4392690.071311026
4,36,36,0,1800,0.0,118.16865725660514,0,0,0,0,0.0,162000,-162000.0,,,,4392690.071311026,4230690.071311026
5,36,38,2,1800,447977.23545866687,124.4381209607408,1800,0,0,0,0.0,162000,285977.23545866687,,,,4230690.071311026,4516667.306769692
6,38,40,2,1900,253361.05032822755,133.34792122538292,0,0,0,0,0.0,171000,82361.05032822755,,,,4516667.306769692,4599028.35709792
7,40,42,2,2000,284922.6804123712,142.46134020618558,0,0,0,0,0.0,180000,104922.68041237118,,,,4599028.35709792,4703951.037510291
8,42,44,2,2100,325953.9473684211,155.21616541353387,0,0,0,0,0.0,189000,136953.94736842113,,,,4703951.037510291,4840904.984878711
9,44,46,2,2200,384842.3247328643,174.92832942402922,0,0,0,0,0.0,198000,186842.32473286428,,,,4840904.984878711,5027747.309611576
10,46,49,3,2300,463463.75313745765,201.5059796249816,0,0,0,0,0.0,207000,256463.75313745765,,,,5027747.309611576,5284211.062749034
11,49,52,3,2450,568557.0296347346,232.06409372846312,0,0,0,0,0.0,220500,348057.0296347346,,,,5284211.062749034,5632268.092383768
12,52,55,3,2600,702866.1219358897,270.33312382149603,0,0,0,0,0.0,234000,468866.1219358897,,,,5632268.092383768,6101134.2143196585
13,55,58,3,2750,921530.6122448982,335.1020408163266,0,0,0,0,0.0,247500,674030.6122448982,,,,6101134.2143196585,6775164.826564557
14,58,61,3,2900,1310328.8201160545,451.83752417794983,0,0,0,0,0.0,261000,1049328.8201160545,,,,6775164.826564557,7824493.646680611
15,61,65,4,3050,2135000.0,700.0,0,0,0,0,0.0,274500,1860500.0,,,,7824493.646680611,9684993.646680612
16,65,69,4,3250,2275000.0,700.0,0,0,0,0,0.0,292500,1982500.0,,,,9684993.646680612,11667493.646680612
17,69,73,4,3450,2362037.3027259717,684.6484935437599,0,0,0,0,0.0,310500,2051537.3027259717,,,,11667493.646680612,13719030.949406583
18,73,77,4,3650,1697308.3067092665,465.0159744408949,0,0,0,0,0.0,328500,1368808.3067092665,,,,13719030.949406583,15087839.25611585
19,77,82,5,3850,1243189.6551724146,322.9064039408869,0,0,0,0,0.0,346500,896689.6551724146,,,,15087839.25611585,15984528.911288265
20,82,87,5,4100,876448.3703929336,213.7678952177887,0,0,0,0,0.0,369000,507448.3703929336,,,,15984528.911288265,16491977.281681199
21,87,92,5,4350,1892712.7659574477,435.1063829787236,0,0,0,0,0.0,391500,1501212.7659574477,,,,16491977.281681199,17993190.047638647
22,92,98,6,4600,2504211.485870559,544.3938012762085,0,0,0,0,0.0,414000,2090211.4858705588,,,,17993190.047638647,20083401.533509206
23,98,104,6,4900,3002993.572084486,612.8558310376502,0,0,0,0,0.0,441000,2561993.572084486,,,,20083401.533509206,22645395.105593693
24,104,110,6,5200,3544247.948951691,681.5861440291714,0,0,0,0,0.0,468000,3076247.948951691,,,,22645395.105593693,25721643.054545384
