Period,Population,Housing bought - units,Food bought - units,Unemployment rate,Number of houses,Cash
1,2008.0525964061894,0.0,180000.0,0,624.0,4965000.0
2,2016.1376149668195,3.0,180724.73367655705,0,627.0,3367752.6632344294
3,2024.2551862231521,3.0,180724.73367655705,0,630.0,3684009.4199911864
4,2032.4054412420476,2.0,182182.96676008368,0,632.0,2210357.9324662695
5,2040.5885116180805,3.0,182916.4897117843,0,635.0,-107185.24050570978
6,2048.804529475664,2.0,182916.4897117843,0,637.0,447128.19233011117
7,2057.053627471184,3.0,184392.40765280975,0,640.0,-1005898.3090936862
8,2065.335938795141,2.0,185134.82647240657,0,642.0,-2521080.7446387606
9,2073.651597174299,3.0,185880.23449156267,0,645.0,-4533375.497742086
10,2082.000736873846,3.0,186628.6437456869,0,648.0,-6904937.539893277
11,2090.3834926995632,2.0,187380.06631864616,0,650.0,-9352239.105164187
12,2098.7999999999984,3.0,188134.5143429607,0,653.0,-11988611.118827026
13,2107.250394668654,2.0,188891.99999999985,0,655.0,-14065020.01174858
14,2115.734813146179,3.0,189652.53552017885,0,658.0,-15765247.822702497
15,2124.2533924225745,3.0,190416.1331831561,0,661.0,-17050268.8688733
16,2132.8062700394034,2.0,191182.8053180317,0,663.0,-17891397.437256034
17,2141.393584092012,3.0,191952.5643035463,0,666.0,-18845476.489431426
18,2150.0154732317606,3.0,192725.4225682811,0,669.0,-19895279.37440241
19,2158.6720766682597,2.0,193501.39259085845,0,671.0,-20913885.217088807
20,2167.36353417162,3.0,194280.48690014338,0,674.0,-22390720.716603287
21,2176.089986074708,3.0,195062.7180754458,0,677.0,-24576053.136081398
22,2184.851573275413,3.0,195848.09874672373,0,680.0,-28068002.950400647
23,2193.6484372389205,2.0,196636.6415947872,0,682.0,-34029642.54907534
24,2202.4807199999973,3.0,196636.6415947872,0,685.0,-33261886.091510765
25,2211.348564165284,3.0,198223.26479999974,0,688.0,-34488598.19663528
26,2220.252112915599,3.0,199021.37077487557,0,691.0,-35817829.8217816
27,2229.1915100082483,2.0,199822.6901624039,0,693.0,-36947006.08138734
28,2238.1668997793486,3.0,200627.23590074235,0,696.0,-39336051.89018689
29,2247.178427146156,3.0,201435.02098014136,0,699.0,-42454000.45576553
30,2256.226237609408,3.0,202246.05844315403,0,702.0,-46536553.733301885
31,2265.3104772556703,3.0,203060.36138484674,0,705.0,-51036920.89570066
32,2274.4312927596966,3.0,203877.94295301032,0,705.0,-52925248.735789925
33,2283.588831386797,3.0,204698.8163483727,0,705.0,-54054490.78891527
34,2292.783240995217,3.0,205522.99482481176,0,705.0,-54484405.00393053
35,2302.0146700385217,3.0,206350.49168956955,0,705.0,-54434169.834688306
36,2311.2832675679956,3.0,207181.32030346696,0,705.0,-54084579.03099032
37,2320.5891832350476,3.0,208015.4940811196,0,705.0,-53634305.25437143
38,2329.932567293628,3.0,208853.02649115428,0,705.0,-53168796.26732961
39,2339.313570602654,3.0,209693.93105642652,0,705.0,-52728416.89133008
40,2348.7323446284468,3.0,210538.22135423886,0,705.0,-52352604.89701921
41,2358.189041447175,3.0,211385.91101656022,0,705.0,-51978353.94101393
42,2367.6838137473114,3.0,212237.01373024576,0,705.0,-51606865.367826946
43,2377.216814832099,3.0,213091.54323725804,0,705.0,-51215202.636974104
44,2386.788198622024,3.0,213949.5133348889,0,705.0,-50737744.500315845
45,2396.3981196573036,3.0,214810.93787598217,0,705.0,-50087415.60592436
46,2406.0467331003792,3.0,215675.83076915733,0,705.0,-49167443.941260874
47,2415.7341947384234,3.0,216544.20597903413,0,705.0,-47910958.99296089
48,2425.4606609858533,3.0,217416.0775264581,0,705.0,-46283663.756673366
49,2435.2262888868577,3.0,218291.4594887268,0,705.0,-44274957.643190116
50,2445.0312361179317,3.0,219170.36599981718,0,705.0,-41910213.30500755
